Scenario,Etang,Saison,Nb_Orages_Analyses,Pluie_Moyenne_Orage_mm,CR_Terrain_Moyen,CR_Modele_Moyen,Biais_Moyen_CR
L0.2_Pant10_CN_modif_20260519,REMONDET NORD,3_Ete (Basses Eaux),4,8.8,10.5,0,-10.5
L0.2_Pant10_CN_modif_20260519,REMONDET NORD,4_Automne (Avant Vidange),20,15.7,29.4,24.9,-4.4
L0.2_Pant10_CN_modif_20260519,ROUE RONZUEL,2_Printemps (Maintien),3,23.8,18.6,35.9,17.3
L0.2_Pant10_CN_modif_20260519,ROUE RONZUEL,3_Ete (Basses Eaux),3,15.2,19.9,17.8,-2.1
L0.2_Pant10_CN_modif_20260519,ROUE RONZUEL,4_Automne (Avant Vidange),1,5.8,0.8,10.4,9.6
L0.2_Pant5_CN_base_20260519,CARRONNIER,1_Hiver (Sature),17,11.1,32.2,4.2,-28
L0.2_Pant5_CN_base_20260519,CARRONNIER,2_Printemps (Maintien),5,15.9,40.2,10,-30.2
L0.2_Pant5_CN_base_20260519,CARRONNIER,3_Ete (Basses Eaux),4,8.8,21.4,0,-21.4
L0.2_Pant5_CN_base_20260519,CARRONNIER,4_Automne (Avant Vidange),21,12.5,23.9,9.8,-14.1
L0.2_Pant5_CN_base_20260519,CORVEYZIEUX,1_Hiver (Sature),6,10.7,42.9,3.2,-39.7
L0.2_Pant5_CN_base_20260519,CORVEYZIEUX,2_Printemps (Maintien),1,8.4,13.7,0,-13.7
L0.2_Pant5_CN_base_20260519,CORVEYZIEUX,3_Ete (Basses Eaux),2,9,52,0,-52
L0.2_Pant5_CN_base_20260519,CORVEYZIEUX,4_Automne (Avant Vidange),16,15.1,40.5,6.8,-33.7
L0.2_Pant5_CN_base_20260519,FOUR,1_Hiver (Sature),1,6.2,8.6,0,-8.6
L0.2_Pant5_CN_base_20260519,FOUR,2_Printemps (Maintien),2,6.7,4.6,0,-4.6
L0.2_Pant5_CN_base_20260519,FOUR,3_Ete (Basses Eaux),2,7.9,28.6,0,-28.6
L0.2_Pant5_CN_base_20260519,FOUR,4_Automne (Avant Vidange),5,10.6,37.1,4.9,-32.2
L0.2_Pant5_CN_base_20260519,GRAND ETANG LA ROUE,2_Printemps (Maintien),3,23.3,32,14.3,-17.6
L0.2_Pant5_CN_base_20260519,GRAND ETANG LA ROUE,3_Ete (Basses Eaux),3,15.2,39.6,9.6,-30
L0.2_Pant5_CN_base_20260519,GRAND ETANG LA ROUE,4_Automne (Avant Vidange),4,12,19,7,-12
L0.2_Pant5_CN_base_20260519,GRAND RONZUEL,4_Automne (Avant Vidange),1,8.9,1.2,0,-1.2
L0.2_Pant5_CN_base_20260519,LIGNIERE,4_Automne (Avant Vidange),1,8.1,37.3,0,-37.3
L0.2_Pant5_CN_base_20260519,PLAT,1_Hiver (Sature),8,13.8,31.8,6.8,-25
L0.2_Pant5_CN_base_20260519,PLAT,2_Printemps (Maintien),5,19.9,29.7,8.6,-21.1
L0.2_Pant5_CN_base_20260519,PLAT,3_Ete (Basses Eaux),3,11.2,36.5,0,-36.5
L0.2_Pant5_CN_base_20260519,PLAT,4_Automne (Avant Vidange),9,20.5,48.9,12.4,-36.5
L0.2_Pant5_CN_base_20260519,POLLET,2_Printemps (Maintien),3,6.5,35.5,0,-35.4
L0.2_Pant5_CN_base_20260519,POLLET,4_Automne (Avant Vidange),2,6.7,57.1,0,-57.1
L0.2_Pant5_CN_base_20260519,REMONDET NORD,1_Hiver (Sature),5,8.7,24.9,0.4,-24.5
L0.2_Pant5_CN_base_20260519,REMONDET NORD,2_Printemps (Maintien),1,5.4,28,0.8,-27.3
L0.2_Pant5_CN_base_20260519,REMONDET NORD,3_Ete (Basses Eaux),4,8.8,10.5,0,-10.5
L0.2_Pant5_CN_base_20260519,REMONDET NORD,4_Automne (Avant Vidange),20,15.7,29.4,17,-12.4
L0.2_Pant5_CN_base_20260519,ROUE RONZUEL,2_Printemps (Maintien),3,23.8,18.6,19.8,1.2
L0.2_Pant5_CN_base_20260519,ROUE RONZUEL,3_Ete (Basses Eaux),3,15.2,19.9,12.4,-7.6
L0.2_Pant5_CN_base_20260519,ROUE RONZUEL,4_Automne (Avant Vidange),1,5.8,0.8,1.5,0.7
L0.2_Pant5_CN_modif_20260519,CARRONNIER,1_Hiver (Sature),17,11.1,32.2,6.8,-25.4
L0.2_Pant5_CN_modif_20260519,CARRONNIER,2_Printemps (Maintien),5,15.9,40.2,15.4,-24.9
L0.2_Pant5_CN_modif_20260519,CARRONNIER,3_Ete (Basses Eaux),4,8.8,21.4,0,-21.4
L0.2_Pant5_CN_modif_20260519,CARRONNIER,4_Automne (Avant Vidange),21,12.5,23.9,13.8,-10.1
L0.2_Pant5_CN_modif_20260519,CORVEYZIEUX,1_Hiver (Sature),6,10.7,42.9,7.8,-35.1
L0.2_Pant5_CN_modif_20260519,CORVEYZIEUX,2_Printemps (Maintien),1,8.4,13.7,0,-13.7
L0.2_Pant5_CN_modif_20260519,CORVEYZIEUX,3_Ete (Basses Eaux),2,9,52,0,-52
L0.2_Pant5_CN_modif_20260519,CORVEYZIEUX,4_Automne (Avant Vidange),16,15.1,40.5,11.7,-28.9
L0.2_Pant5_CN_modif_20260519,FOUR,1_Hiver (Sature),1,6.2,8.6,0,-8.6
L0.2_Pant5_CN_modif_20260519,FOUR,2_Printemps (Maintien),2,6.7,4.6,0,-4.6
L0.2_Pant5_CN_modif_20260519,FOUR,3_Ete (Basses Eaux),2,7.9,28.6,0,-28.6
L0.2_Pant5_CN_modif_20260519,FOUR,4_Automne (Avant Vidange),5,10.6,37.1,7.6,-29.5
L0.2_Pant5_CN_modif_20260519,GRAND ETANG LA ROUE,2_Printemps (Maintien),3,23.3,32,23.5,-8.5
L0.2_Pant5_CN_modif_20260519,GRAND ETANG LA ROUE,3_Ete (Basses Eaux),3,15.2,39.6,14,-25.7
L0.2_Pant5_CN_modif_20260519,GRAND ETANG LA ROUE,4_Automne (Avant Vidange),4,12,19,11.1,-7.9
L0.2_Pant5_CN_modif_20260519,GRAND RONZUEL,4_Automne (Avant Vidange),1,8.9,1.2,0,-1.2
L0.2_Pant5_CN_modif_20260519,LIGNIERE,4_Automne (Avant Vidange),1,8.1,37.3,0,-37.3
L0.2_Pant5_CN_modif_20260519,PLAT,1_Hiver (Sature),8,13.8,31.8,11.2,-20.6
L0.2_Pant5_CN_modif_20260519,PLAT,2_Printemps (Maintien),5,19.9,29.7,14,-15.7
L0.2_Pant5_CN_modif_20260519,PLAT,3_Ete (Basses Eaux),3,11.2,36.5,0,-36.5
L0.2_Pant5_CN_modif_20260519,PLAT,4_Automne (Avant Vidange),9,20.5,48.9,16.8,-32.1
L0.2_Pant5_CN_modif_20260519,POLLET,2_Printemps (Maintien),3,6.5,35.5,0.7,-34.8
