"Evenement";"Etang";"Date_Debut_Orage";"hypothese";"RMSE"
"REMONDET NORD (2025-11-22)";"REMONDET NORD";"2025-11-22";"0.20/225/1";1,35
"REMONDET NORD (2025-11-22)";"REMONDET NORD";"2025-11-22";"0.20/225/5";1,35
"REMONDET NORD (2025-11-22)";"REMONDET NORD";"2025-11-22";"0.20/200/1";1,36
"REMONDET NORD (2025-11-22)";"REMONDET NORD";"2025-11-22";"0.20/200/2";1,36
"ROUE RONZUEL (2025-04-14)";"ROUE RONZUEL";"2025-04-14";"0.50/150/5";3,49
"ROUE RONZUEL (2025-04-14)";"ROUE RONZUEL";"2025-04-14";"0.40/150/5";3,55
"ROUE RONZUEL (2025-04-14)";"ROUE RONZUEL";"2025-04-14";"0.35/150/5";3,62
"ROUE RONZUEL (2025-04-14)";"ROUE RONZUEL";"2025-04-14";"0.50/175/5";3,63
"ROUE RONZUEL (2025-04-14)";"ROUE RONZUEL";"2025-04-14";"0.50/150/4";3,65
"ROUE RONZUEL (2025-04-14)";"ROUE RONZUEL";"2025-04-14";"0.40/175/5";3,67
"ROUE RONZUEL (2025-04-14)";"ROUE RONZUEL";"2025-04-14";"0.40/150/4";3,69
"ROUE RONZUEL (2025-04-14)";"ROUE RONZUEL";"2025-04-14";"0.30/150/5";3,72
"ROUE RONZUEL (2025-04-14)";"ROUE RONZUEL";"2025-04-14";"0.35/175/5";3,73
"ROUE RONZUEL (2025-04-14)";"ROUE RONZUEL";"2025-04-14";"0.35/150/4";3,75
"ROUE RONZUEL (2025-04-14)";"ROUE RONZUEL";"2025-04-14";"0.50/200/5";3,77
"ROUE RONZUEL (2025-04-14)";"ROUE RONZUEL";"2025-04-14";"0.40/200/5";3,78
"ROUE RONZUEL (2025-05-31)";"ROUE RONZUEL";"2025-05-31";"0.20/150/3";1,87
"ROUE RONZUEL (2025-05-31)";"ROUE RONZUEL";"2025-05-31";"0.20/150/4";1,87
"ROUE RONZUEL (2025-05-31)";"ROUE RONZUEL";"2025-05-31";"0.20/175/4";1,87
"ROUE RONZUEL (2025-05-31)";"ROUE RONZUEL";"2025-05-31";"0.20/200/4";1,87
"ROUE RONZUEL (2025-05-31)";"ROUE RONZUEL";"2025-05-31";"0.20/150/5";1,87
