"Saison_Hydro","Categorie","Remplissage_20Mars","Remplissage_1Sept","Pluie_Totale_mm","Vol_Pluie_BV_m3","Coef_Écoulement","Coef_Évaporation","Coef_Captage","Scenario","Modele_Meteo","Modele_Meteo_Desc"
2036,"1. Étang de Tête",0,0,1179.80064,11467662.2208,0.20778642119890542,0.11194184538488501,0.3824582683636291,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2036,"2. Étang de Milieu",82.65554410946021,67.2497786959201,1179.80064,11467662.2208,0.20778642119890542,0.11194184538488501,0.3824582683636291,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2036,"3. Étang Exutoire",99.54309603278074,76.02578746325314,1179.80064,11467662.2208,0.20778642119890542,0.11194184538488501,0.3824582683636291,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2037,"1. Étang de Tête",46.81602831286456,18.997564446582462,1039.79808,10106837.3376,0.12241135859278698,0.16648813011100372,0.36258619202767595,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2037,"2. Étang de Milieu",63.76544941342082,35.247233080999884,1039.79808,10106837.3376,0.12241135859278698,0.16648813011100372,0.36258619202767595,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2037,"3. Étang Exutoire",94.76354129051904,50.00492900245288,1039.79808,10106837.3376,0.12241135859278698,0.16648813011100372,0.36258619202767595,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2038,"1. Étang de Tête",56.782346676133955,42.70633886547868,1276.88832,12411354.4704,0.12247462262798134,0.10765887122160289,0.3835075524671945,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2038,"2. Étang de Milieu",72.47144518586778,54.28704596773646,1276.88832,12411354.4704,0.12247462262798134,0.10765887122160289,0.3835075524671945,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2038,"3. Étang Exutoire",99.90627895173706,66.9862385595812,1276.88832,12411354.4704,0.12247462262798134,0.10765887122160289,0.3835075524671945,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2039,"1. Étang de Tête",51.673462091844115,24.810203798166484,1260.16128,12248767.6416,0.14102845651873555,0.13698137321474393,0.3720889765341772,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2039,"2. Étang de Milieu",71.81710166229642,50.19734926173501,1260.16128,12248767.6416,0.14102845651873555,0.13698137321474393,0.3720889765341772,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2039,"3. Étang Exutoire",98.91206959939174,74.54431395010708,1260.16128,12248767.6416,0.14102845651873555,0.13698137321474393,0.3720889765341772,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2040,"1. Étang de Tête",34.20200004323054,23.90470159378628,964.58688,9375784.4736,0.0951783906193824,0.18640876204083695,0.35456137515014624,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2040,"2. Étang de Milieu",72.28315364729782,59.5020992470155,964.58688,9375784.4736,0.0951783906193824,0.18640876204083695,0.35456137515014624,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2040,"3. Étang Exutoire",0,0,964.58688,9375784.4736,0.0951783906193824,0.18640876204083695,0.35456137515014624,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2041,"1. Étang de Tête",0,0,1007.95968,9797368.0896,0.13950897971563295,0.15288542946868725,0.3731957026459073,"5. Opti (Synchronisation Totale)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
